time,base_heading,distance_ball_base,distance_ball_hand
0.0000,2.2089,0.0000,0.0000
0.0010,2.2089,0.0000,0.0000
0.0020,2.2089,0.0000,0.0000
0.0030,2.2089,0.0000,0.0000
0.0040,2.2089,0.0000,0.0000
0.0050,2.2089,0.0000,0.0000
0.0060,2.2089,0.0000,0.0000
0.0070,2.2089,0.0000,0.0000
0.0080,2.2089,0.0000,0.0000
0.0090,2.2089,0.0000,0.0000
0.0100,2.2089,0.0000,0.0000
0.0110,2.2089,0.0000,0.0000
0.0120,2.2089,0.0000,0.0000
0.0130,2.2089,0.0000,0.0000
0.0140,2.2089,0.0000,0.0000
0.0150,2.2089,0.0000,0.0000
0.0160,2.2089,0.0000,0.0000
0.0170,2.2089,0.0000,0.0000
0.0180,2.2089,0.0000,0.0000
0.0190,2.2089,0.0000,0.0000
0.0200,2.2089,0.0000,0.0000
0.0210,2.2089,0.0000,0.0000
0.0220,2.2089,0.0000,0.0000
0.0230,2.2089,0.0000,0.0000
0.0240,2.2089,0.0000,0.0000
0.0250,2.2089,0.0000,0.0000
0.0260,2.2089,0.0000,0.0000
0.0270,2.2089,0.0000,0.0000
0.0280,2.2089,0.0000,0.0000
0.0290,2.2089,0.0000,0.0000
0.0300,2.2089,0.0000,0.0000
0.0310,2.2089,0.0000,0.0000
0.0320,2.2089,0.0000,0.0000
0.0330,2.2089,0.0000,0.0000
0.0340,2.2089,0.0000,0.0000
0.0350,2.2089,0.0000,0.0000
0.0360,2.2089,0.0000,0.0000
0.0370,2.2089,0.0000,0.0000
0.0380,2.2089,0.0000,0.0000
0.0390,2.2089,0.0000,0.0000
0.0400,2.2089,0.0000,0.0000
0.0410,2.2089,0.0000,0.0000
0.0420,2.2089,0.0000,0.0000
0.0430,2.2089,0.0000,0.0000
0.0440,2.2089,0.0000,0.0000
0.0450,2.2089,0.0000,0.0000
0.0460,2.2089,0.0000,0.0000
0.0470,2.2089,0.0000,0.0000
0.0480,2.2089,0.0000,0.0000
0.0490,2.2089,0.0000,0.0000
0.0500,2.2089,0.0000,0.0000
0.0510,2.2089,0.0000,0.0000
0.0520,2.2089,0.0000,0.0000
0.0530,2.2089,0.0000,0.0000
0.0540,2.2089,0.0000,0.0000
0.0550,2.2089,0.0000,0.0000
0.0560,2.2089,0.0000,0.0000
0.0570,2.2089,0.0000,0.0000
0.0580,2.2089,0.0000,0.0000
0.0590,2.2089,0.0000,0.0000
0.0600,2.2089,0.0000,0.0000
0.0610,2.2089,0.0000,0.0000
0.0620,2.2089,0.0000,0.0000
0.0630,2.2089,0.0000,0.0000
0.0640,2.2089,0.0000,0.0000
0.0650,2.2089,0.0000,0.0000
0.0660,2.2089,0.0000,0.0000
0.0670,2.2089,0.0000,0.0000
0.0680,2.2089,0.0000,0.0000
0.0690,2.2089,0.0000,0.0000
0.0700,2.2089,0.0000,0.0000
0.0710,2.2089,0.0000,0.0000
0.0720,2.2089,0.0000,0.0000
0.0730,2.2089,0.0000,0.0000
0.0740,2.2089,0.0000,0.0000
0.0750,2.2089,0.0000,0.0000
0.0760,2.2089,0.0000,0.0000
0.0770,2.2089,0.0000,0.0000
0.0780,2.2089,0.0000,0.0000
0.0790,2.2089,0.0000,0.0000
0.0800,2.2089,0.0000,0.0000
0.0810,2.2089,0.0000,0.0000
0.0820,2.2089,0.0000,0.0000
0.0830,2.2089,0.0000,0.0000
0.0840,2.2089,0.0000,0.0000
0.0850,2.2089,0.0000,0.0000
0.0860,2.2089,0.0000,0.0000
0.0870,2.2089,0.0000,0.0000
0.0880,2.2089,0.0000,0.0000
0.0890,2.2089,0.0000,0.0000
0.0900,2.2089,0.0000,0.0000
0.0910,2.2089,0.0000,0.0000
0.0920,2.2089,0.0000,0.0000
